"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Filled","","2026-02-22T23:35:18.302Z","","","","","","KXHIGHCHI-26FEB22-B30.5","9e687990-f740-4262-a783-fc0a8f8eeb3c","12","0","","","","","","","","","","","",""
"Order","Canceled","","2026-02-22T23:33:02.577Z","","","","","","KXHIGHLAX-26FEB22-B71.5","5865956c-61e0-4c56-9c7e-b756eb516e20","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:33:01.887Z","","","","","","KXHIGHCHI-26FEB22-B30.5","9e687990-f740-4262-a783-fc0a8f8eeb3c","12","0","","","","","","","","","","","",""
"Order","Canceled","","2026-02-22T23:30:46.140Z","","","","","","KXHIGHLAX-26FEB22-B71.5","5865956c-61e0-4c56-9c7e-b756eb516e20","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:30:45.452Z","","","","","","KXHIGHTBOS-26FEB22-B38.5","5c222c2d-f530-489c-8c54-714274f02aec","13","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:30:44.744Z","","","","","","KXHIGHMIA-26FEB22-B86.5","e55797e7-b3ff-4ab4-8b19-215e992b255a","34","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:30:44.033Z","","","","","","KXHIGHMIA-26FEB22-B84.5","d69c7a1e-5884-4c53-965f-cdf2e2cf5847","28","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:30:43.347Z","","","","","","KXHIGHCHI-26FEB22-B30.5","9e687990-f740-4262-a783-fc0a8f8eeb3c","12","0","","","","","","","","","","","",""
"Order","Canceled","","2026-02-22T23:27:40.514Z","","","","","","KXHIGHLAX-26FEB22-B71.5","5865956c-61e0-4c56-9c7e-b756eb516e20","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-02-22T23:27:39.826Z","","","","","","KXHIGHCHI-26FEB22-B30.5","9e687990-f740-4262-a783-fc0a8f8eeb3c","12","0","","","","","","","","","","","",""
"Order","Canceled","","2026-02-22T23:25:24.780Z","","","","","","KXHIGHLAX-26FEB22-B71.5","5865956c-61e0-4c56-9c7e-b756eb516e20","0","0","","","","","","","","","","","",""
